Index,Filename,Status,Expected_Mode,Actual_Mode,Mode_Correct,Processing_Time_s,Rain_Score,Glare_Score,Glare_Percentage,Needs_Enhancement,Critical_Issue
181,872_rain.png,success,DEGLARE,DEGLARE,True,0.7715926170349121,0.18,0.13770247853239656,13.770247853239656,False,False
182,872_rain.png,success,DEGLARE,DEGLARE,True,0.7780218124389648,0.18,0.13770247853239656,13.770247853239656,False,False
183,873_rain.png,success,DEGLARE,DEGLARE,True,0.8587017059326172,0.18,0.12932523419203748,12.932523419203749,False,False
184,873_rain.png,success,DEGLARE,DEGLARE,True,0.8207924365997314,0.18,0.12932523419203748,12.932523419203749,False,False
185,875_rain.png,success,DEGLARE,DEGLARE,True,0.9228329658508301,0.18,0.11232191647150663,11.232191647150664,False,False
186,875_rain.png,success,DEGLARE,DEGLARE,True,0.8595678806304932,0.18,0.11232191647150663,11.232191647150664,False,False
187,876_rain.png,success,DEGLARE,DEGLARE,True,0.7957675457000732,0.18,0.09314988290398127,9.314988290398126,False,False
188,876_rain.png,success,DEGLARE,DEGLARE,True,0.781853199005127,0.18,0.09314988290398127,9.314988290398126,False,False
189,877_rain.png,success,DEGLARE,DEGLARE,True,0.8676059246063232,0.18,0.21253903200624513,21.253903200624514,False,False
190,877_rain.png,success,DEGLARE,DEGLARE,True,0.8166012763977051,0.18,0.21253903200624513,21.253903200624514,False,False
191,878_rain.png,success,DEGLARE,DEGLARE,True,0.8296859264373779,0.19520908423325709,0.1198087431693989,11.980874316939891,False,False
192,878_rain.png,success,DEGLARE,DEGLARE,True,1.2899792194366455,0.19520908423325709,0.1198087431693989,11.980874316939891,False,False
193,879_rain.png,success,DEGLARE,DEGLARE,True,0.9478380680084229,0.18,0.02227263856362217,2.227263856362217,False,False
194,879_rain.png,success,DEGLARE,DEGLARE,True,1.0452873706817627,0.18,0.02227263856362217,2.227263856362217,False,False
195,880_rain.png,success,DEGLARE,DEGLARE,True,1.0458979606628418,0.18,0.12367291178766589,12.367291178766589,False,False
196,880_rain.png,success,DEGLARE,DEGLARE,True,0.9073221683502197,0.18,0.12367291178766589,12.367291178766589,False,False
197,881_rain.png,success,DEGLARE,DEGLARE,True,0.8646407127380371,0.18,0.1603117681498829,16.031176814988292,False,False
198,881_rain.png,success,DEGLARE,DEGLARE,True,0.9315261840820312,0.18,0.1603117681498829,16.031176814988292,False,False
199,883_rain.png,success,DEGLARE,DEGLARE,True,0.9834611415863037,0.18,0.15433255269320842,15.433255269320842,False,False
200,883_rain.png,success,DEGLARE,DEGLARE,True,1.2219853401184082,0.18,0.15433255269320842,15.433255269320842,False,False
