Index,Filename,Status,Expected_Mode,Actual_Mode,Mode_Correct,Processing_Time_s,Rain_Score,Glare_Score,Contrast,Brightness,Sharpness,Unnecessary_Processing
1,Copy of KIMG0060.JPG,success,NONE,NONE,True,0.08706378936767578,0.24898529358217664,0.005532786885245901,67.54813757370178,125.95532055035129,1153.7794305216228,False
2,Copy of KIMG0060.JPG,success,NONE,NONE,True,0.08397269248962402,0.24898529358217664,0.005532786885245901,67.54813757370178,125.95532055035129,1153.7794305216228,False
3,Copy of KIMG0061.JPG,success,DEGLARE,DEGLARE,True,1.6926119327545166,0.22255623049952797,0.008679742388758783,64.66192179510827,131.92977166276347,773.7739478337633,True
4,Copy of KIMG0061.JPG,success,DEGLARE,DEGLARE,True,1.677670955657959,0.22255623049952797,0.008679742388758783,64.66192179510827,131.92977166276347,773.7739478337633,True
5,Copy of KIMG0062.JPG,success,DEGLARE,DEGLARE,True,1.6590464115142822,0.20550250843653417,0.007679547228727557,66.03169095157047,128.23803669008586,637.8607774887166,True
6,Copy of KIMG0062.JPG,success,DEGLARE,DEGLARE,True,1.6570053100585938,0.20550250843653417,0.007679547228727557,66.03169095157047,128.23803669008586,637.8607774887166,True
7,Copy of KIMG0063.JPG,success,NONE,NONE,True,0.06781291961669922,0.18,0.0012392661982825917,94.87393767976407,115.76552254098361,674.7860156877729,False
8,Copy of KIMG0063.JPG,success,NONE,NONE,True,0.07076478004455566,0.18,0.0012392661982825917,94.87393767976407,115.76552254098361,674.7860156877729,False
9,Copy of KIMG0064.JPG,success,NONE,NONE,True,0.06295657157897949,0.18,0.0006976971116315378,91.58273197992386,115.28509953161593,783.6409790674631,False
10,Copy of KIMG0064.JPG,success,NONE,NONE,True,0.060837745666503906,0.18,0.0006976971116315378,91.58273197992386,115.28509953161593,783.6409790674631,False
11,Copy of KIMG0069.JPG,success,NONE,NONE,True,0.07314324378967285,0.19623069116512357,0.006286592505854801,73.16622795636643,95.8536543715847,1152.032345028214,False
12,Copy of KIMG0069.JPG,success,NONE,NONE,True,0.09362959861755371,0.19623069116512357,0.006286592505854801,73.16622795636643,95.8536543715847,1152.032345028214,False
13,Copy of KIMG0070.JPG,success,DEGLARE,DEGLARE,True,1.669830322265625,0.203377039225337,0.00972628805620609,76.99938747825756,81.28016198282592,1300.6275615273933,True
14,Copy of KIMG0070.JPG,success,DEGLARE,DEGLARE,True,1.769460916519165,0.203377039225337,0.00972628805620609,76.99938747825756,81.28016198282592,1300.6275615273933,True
15,Copy of KIMG0073.JPG,success,NONE,NONE,True,0.09250283241271973,0.20444240071802502,0.0039007611241217797,72.25810000055478,106.23997365339578,1034.0535174270358,False
16,Copy of KIMG0073.JPG,success,NONE,NONE,True,0.09552335739135742,0.20444240071802502,0.0039007611241217797,72.25810000055478,106.23997365339578,1034.0535174270358,False
17,Copy of KIMG0074.JPG,success,NONE,NONE,True,0.07239317893981934,0.1905596865648786,0.006201209992193599,71.45597979334677,109.19153249414519,870.5878631106292,False
18,Copy of KIMG0074.JPG,success,NONE,NONE,True,0.09659552574157715,0.1905596865648786,0.006201209992193599,71.45597979334677,109.19153249414519,870.5878631106292,False
19,Copy of KIMG0075.JPG,success,NONE,NONE,True,0.08512377738952637,0.19297778920649633,0.005779176424668228,72.16107119403702,103.36718140124903,844.7998205806499,False
20,Copy of KIMG0075.JPG,success,NONE,NONE,True,0.08124494552612305,0.19297778920649633,0.005779176424668228,72.16107119403702,103.36718140124903,844.7998205806499,False
21,Copy of KIMG0076.JPG,success,DEGLARE,DEGLARE,True,1.7030541896820068,0.20314530110081552,0.008438231850117096,72.49271902820817,104.4946843286495,937.5748828513966,True
22,Copy of KIMG0076.JPG,success,DEGLARE,DEGLARE,True,1.6653082370758057,0.20314530110081552,0.008438231850117096,72.49271902820817,104.4946843286495,937.5748828513966,True
23,Copy of KIMG0077.JPG,success,NONE,NONE,True,0.0789632797241211,0.19906219356879828,0.0063061085089773615,74.95321515491706,104.26039715066355,895.4719418643062,False
24,Copy of KIMG0077.JPG,success,NONE,NONE,True,0.07691025733947754,0.19906219356879828,0.0063061085089773615,74.95321515491706,104.26039715066355,895.4719418643062,False
25,Copy of KIMG0079.JPG,success,DEGLARE,DEGLARE,True,1.7560975551605225,0.20650903062083523,0.007681986729117876,75.78992689574925,93.78879049570648,1278.0435372732748,True
26,Copy of KIMG0079.JPG,success,DEGLARE,DEGLARE,True,1.7365329265594482,0.20650903062083523,0.007681986729117876,75.78992689574925,93.78879049570648,1278.0435372732748,True
27,Copy of KIMG0081.JPG,success,NONE,NONE,True,0.06644821166992188,0.18,0.006550058548009368,94.0464166515539,117.15173204527713,882.7122016519351,False
28,Copy of KIMG0081.JPG,success,NONE,NONE,True,0.06498074531555176,0.18,0.006550058548009368,94.0464166515539,117.15173204527713,882.7122016519351,False
29,Copy of KIMG0082.JPG,success,NONE,NONE,True,0.06379485130310059,0.18,0.0011221701795472287,89.4085062203339,109.55210284933645,576.7139687314897,False
30,Copy of KIMG0082.JPG,success,NONE,NONE,True,0.06465506553649902,0.18,0.0011221701795472287,89.4085062203339,109.55210284933645,576.7139687314897,False
31,Copy of KIMG0083.JPG,success,DEGLARE,DEGLARE,True,1.706822395324707,0.18,0.00705747462919594,89.42629284294769,106.14891930132708,717.6230041847191,True
32,Copy of KIMG0083.JPG,success,DEGLARE,DEGLARE,True,1.7692091464996338,0.18,0.00705747462919594,89.42629284294769,106.14891930132708,717.6230041847191,True
33,Copy of KIMG0085.JPG,success,NONE,NONE,True,0.07215070724487305,0.18,0.005440085870413739,83.67821752049618,101.85046838407494,484.9271438168928,False
34,Copy of KIMG0085.JPG,success,NONE,NONE,True,0.07501697540283203,0.18,0.005440085870413739,83.67821752049618,101.85046838407494,484.9271438168928,False
35,Copy of KIMG0086.JPG,success,NONE,NONE,True,0.06404924392700195,0.18,0.004737509758001562,84.10473167083003,101.51737900078064,483.9615307969691,False
36,Copy of KIMG0086.JPG,success,NONE,NONE,True,0.06660103797912598,0.18,0.004737509758001562,84.10473167083003,101.51737900078064,483.9615307969691,False
37,Copy of KIMG0087.JPG,success,NONE,NONE,True,0.06551694869995117,0.18,0.0007074551131928181,86.89893198259406,95.64401834504294,378.30049411065727,False
38,Copy of KIMG0087.JPG,success,NONE,NONE,True,0.06566047668457031,0.18,0.0007074551131928181,86.89893198259406,95.64401834504294,378.30049411065727,False
39,Copy of KIMG0088.JPG,success,NONE,NONE,True,0.06781196594238281,0.18,0.0005659640905542545,82.62307635859533,109.87289471116316,469.02147928303674,False
40,Copy of KIMG0088.JPG,success,NONE,NONE,True,0.06436491012573242,0.18,0.0005659640905542545,82.62307635859533,109.87289471116316,469.02147928303674,False
41,Copy of KIMG0089.JPG,success,NONE,NONE,True,0.06841087341308594,0.18,0.0005806010928961748,83.17588213611414,106.7035787470726,498.6411520986934,False
42,Copy of KIMG0089.JPG,success,NONE,NONE,True,0.06520199775695801,0.18,0.0005806010928961748,83.17588213611414,106.7035787470726,498.6411520986934,False
43,Copy of KIMG0095.JPG,success,NONE,NONE,True,0.06759381294250488,0.18,0.0008879781420765028,80.55498338930451,100.80436182669789,462.9678592375711,False
44,Copy of KIMG0095.JPG,success,NONE,NONE,True,0.06444025039672852,0.18,0.0008879781420765028,80.55498338930451,100.80436182669789,462.9678592375711,False
45,Copy of KIMG0100.JPG,success,NONE,NONE,True,0.061438560485839844,0.18,0.0013392857142857143,43.66280120953274,127.64216920374707,186.16759117170295,False
46,Copy of KIMG0100.JPG,success,NONE,NONE,True,0.0634152889251709,0.18,0.0013392857142857143,43.66280120953274,127.64216920374707,186.16759117170295,False
47,Copy of KIMG0106.JPG,success,NONE,NONE,True,0.09060955047607422,0.18,0.004086163153786105,56.876560563339964,131.36366364168617,382.81306157736384,False
48,Copy of KIMG0106.JPG,success,NONE,NONE,True,0.09548640251159668,0.18,0.004086163153786105,56.876560563339964,131.36366364168617,382.81306157736384,False
49,Copy of KIMG0109.JPG,success,NONE,NONE,True,0.06766748428344727,0.18,0.0009953161592505856,60.82783392890118,123.19495511319282,242.27951407036963,False
50,Copy of KIMG0109.JPG,success,NONE,NONE,True,0.06959223747253418,0.18,0.0009953161592505856,60.82783392890118,123.19495511319282,242.27951407036963,False
51,Copy of KIMG0111.JPG,success,DEGLARE,DEGLARE,True,1.7373433113098145,0.20253979501223937,0.007882025761124121,45.64899690428391,125.5160763075722,442.64416920842586,True
52,Copy of KIMG0111.JPG,success,DEGLARE,DEGLARE,True,1.748727560043335,0.20253979501223937,0.007882025761124121,45.64899690428391,125.5160763075722,442.64416920842586,True
53,Copy of KIMG0113.JPG,success,NONE,NONE,True,0.09024286270141602,0.20841874381210004,0.005181498829039813,50.690684712771386,128.02775663544105,537.389379913565,False
54,Copy of KIMG0113.JPG,success,NONE,NONE,True,0.08604192733764648,0.20841874381210004,0.005181498829039813,50.690684712771386,128.02775663544105,537.389379913565,False
